p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
4.60E-96,-0.354072201,0.157,0.37,1.39E-91,cd4_tcells,RAC1
4.61E-96,-0.657193783,0.029,0.21,1.39E-91,cd4_tcells,MT1M
6.35E-96,0.719690209,0.26,0.109,1.92E-91,cd4_tcells,ZAP70
8.78E-96,-0.321223191,0.124,0.321,2.65E-91,cd4_tcells,PPP3CA
1.08E-95,0.521218417,0.363,0.255,3.26E-91,cd4_tcells,SMAP2
1.16E-95,-0.473064295,0.1,0.305,3.49E-91,cd4_tcells,TUBB
1.18E-95,0.34046438,0.302,0.308,3.55E-91,cd4_tcells,BCLAF1
1.72E-95,0.319912112,0.586,0.607,5.21E-91,cd4_tcells,PNISR
1.76E-95,-0.486132173,0.624,0.806,5.32E-91,cd4_tcells,ITM2B
1.86E-95,0.384418163,0.375,0.38,5.61E-91,cd4_tcells,CHD2
1.93E-95,-0.283846455,0.4,0.616,5.84E-91,cd4_tcells,EIF4G2
3.16E-95,-0.502404847,0.038,0.212,9.53E-91,cd4_tcells,SOX5
4.26E-95,-0.413882118,0.088,0.285,1.29E-90,cd4_tcells,PRDX4
4.53E-95,-0.578099135,0.068,0.265,1.37E-90,cd4_tcells,FHL1
5.03E-95,-0.371061368,0.091,0.28,1.52E-90,cd4_tcells,SLC39A7
1.18E-94,-0.538962386,0.104,0.318,3.55E-90,cd4_tcells,SMIM14
1.30E-94,-0.46301929,0.047,0.228,3.92E-90,cd4_tcells,TSPAN3
1.54E-94,-0.39522669,0.12,0.325,4.64E-90,cd4_tcells,CLTC
1.57E-94,0.274674089,0.467,0.515,4.73E-90,cd4_tcells,RBM39
1.61E-94,-0.617755301,0.055,0.251,4.85E-90,cd4_tcells,SLC39A14
1.70E-94,0.305163027,0.504,0.53,5.13E-90,cd4_tcells,SRSF5
1.73E-94,0.661727261,0.207,0.109,5.21E-90,cd4_tcells,PPP1R2
1.83E-94,-0.681515701,0.032,0.212,5.54E-90,cd4_tcells,MXRA5
1.84E-94,0.294586575,0.543,0.587,5.54E-90,cd4_tcells,DDX17
1.96E-94,0.360487229,0.384,0.405,5.93E-90,cd4_tcells,BPTF
2.08E-94,0.339558566,0.391,0.411,6.28E-90,cd4_tcells,PNN
2.25E-94,-0.457941455,0.055,0.238,6.80E-90,cd4_tcells,ANXA4
2.65E-94,-0.434537201,0.205,0.437,8.00E-90,cd4_tcells,SELM
2.90E-94,-0.574347509,0.061,0.263,8.75E-90,cd4_tcells,TMEM196
3.21E-94,-0.564238029,0.062,0.255,9.70E-90,cd4_tcells,ENG
5.06E-94,0.267322223,0.672,0.709,1.53E-89,cd4_tcells,GNB2L1
5.29E-94,0.632122374,0.301,0.189,1.60E-89,cd4_tcells,RNF19A
5.32E-94,0.50210582,0.231,0.181,1.61E-89,cd4_tcells,RPL41
5.63E-94,0.327186029,0.333,0.34,1.70E-89,cd4_tcells,RPL36AL
5.67E-94,-0.490259854,0.09,0.299,1.71E-89,cd4_tcells,C1GALT1
5.76E-94,0.449004442,0.331,0.293,1.74E-89,cd4_tcells,SH3KBP1
6.80E-94,-0.314077618,0.144,0.339,2.06E-89,cd4_tcells,PRKAR1A
7.77E-94,0.322981034,0.573,0.592,2.35E-89,cd4_tcells,SON
8.11E-94,-0.32050019,0.079,0.253,2.45E-89,cd4_tcells,CYB5R3
1.10E-93,0.33210482,0.329,0.34,3.33E-89,cd4_tcells,COMMD6
1.20E-93,0.301755512,0.641,0.655,3.63E-89,cd4_tcells,YWHAB
1.27E-93,-0.289176829,0.198,0.401,3.85E-89,cd4_tcells,CAPNS1
1.41E-93,0.265182026,0.421,0.466,4.25E-89,cd4_tcells,SFPQ
1.89E-93,0.690206394,0.243,0.098,5.71E-89,cd4_tcells,LIMD2
1.94E-93,0.346134891,0.419,0.43,5.86E-89,cd4_tcells,PNRC1
2.90E-93,-0.358284807,0.091,0.279,8.76E-89,cd4_tcells,FGFR1
3.20E-93,0.397165926,0.447,0.427,9.68E-89,cd4_tcells,MGEA5
3.45E-93,-0.554652148,0.037,0.219,1.04E-88,cd4_tcells,PLOD2
3.62E-93,-0.473210877,0.044,0.222,1.09E-88,cd4_tcells,PSD3
4.73E-93,-0.603934997,0.031,0.208,1.43E-88,cd4_tcells,CADM3
5.41E-93,-0.386913315,0.178,0.395,1.64E-88,cd4_tcells,NUCB2
5.45E-93,0.518444787,0.32,0.227,1.65E-88,cd4_tcells,CYTH1
7.15E-93,-0.808468019,0.11,0.319,2.16E-88,cd4_tcells,TYROBP
7.65E-93,0.370566624,0.333,0.337,2.31E-88,cd4_tcells,ILF3
9.85E-93,-0.523993808,0.043,0.226,2.98E-88,cd4_tcells,SCPEP1
1.13E-92,-0.50973942,0.073,0.271,3.40E-88,cd4_tcells,PDLIM5
2.01E-92,-0.382720841,0.102,0.296,6.08E-88,cd4_tcells,VAMP5
2.28E-92,-0.527074408,0.085,0.282,6.89E-88,cd4_tcells,HEXB
2.73E-92,-1.321783072,0.245,0.359,8.24E-88,cd4_tcells,IGKC
3.01E-92,0.474712351,0.344,0.297,9.09E-88,cd4_tcells,CHD3
3.95E-92,-0.44692123,0.097,0.29,1.19E-87,cd4_tcells,ADIRF
5.64E-92,-0.632084277,0.059,0.252,1.70E-87,cd4_tcells,PEA15
6.98E-92,0.374222435,0.358,0.353,2.11E-87,cd4_tcells,SRRM1
8.90E-92,-0.562001255,0.031,0.202,2.69E-87,cd4_tcells,H1F0
9.15E-92,-0.303138481,0.124,0.316,2.76E-87,cd4_tcells,SEC31A
9.64E-92,0.320264183,0.405,0.427,2.91E-87,cd4_tcells,SCAF11
1.77E-91,0.293524186,0.338,0.36,5.34E-87,cd4_tcells,ATP5L
2.07E-91,-0.431079034,0.045,0.219,6.26E-87,cd4_tcells,CKAP4
2.58E-91,-0.362961625,0.09,0.277,7.79E-87,cd4_tcells,KDELR1
2.94E-91,0.64361499,0.255,0.132,8.87E-87,cd4_tcells,ARHGEF1
3.01E-91,-0.473318091,0.036,0.207,9.10E-87,cd4_tcells,MLTK
3.34E-91,-0.300277913,0.252,0.476,1.01E-86,cd4_tcells,CALR
3.52E-91,-0.280120621,0.13,0.312,1.06E-86,cd4_tcells,CHD9
3.62E-91,0.572413835,0.264,0.21,1.09E-86,cd4_tcells,TSPYL2
3.91E-91,0.379483906,0.305,0.295,1.18E-86,cd4_tcells,EIF4A2
3.94E-91,-0.304155692,0.294,0.52,1.19E-86,cd4_tcells,RHOA
4.32E-91,-0.344104236,0.093,0.279,1.31E-86,cd4_tcells,NGFRAP1
5.23E-91,-0.624789077,0.032,0.207,1.58E-86,cd4_tcells,ADAMTS5
8.10E-91,0.299227595,0.418,0.431,2.45E-86,cd4_tcells,AKAP13
8.31E-91,-0.453148176,0.038,0.213,2.51E-86,cd4_tcells,CLIC4
1.63E-90,-0.374579733,0.085,0.272,4.92E-86,cd4_tcells,CUX1
2.10E-90,0.619778185,0.292,0.152,6.35E-86,cd4_tcells,SEMA4D
2.47E-90,-0.26225706,0.193,0.389,7.46E-86,cd4_tcells,WSB1
2.68E-90,0.629913787,0.379,0.257,8.10E-86,cd4_tcells,SLC2A3
5.36E-90,-0.808203384,0.097,0.303,1.62E-85,cd4_tcells,CTSH
5.75E-90,-0.50306226,0.046,0.227,1.74E-85,cd4_tcells,ANPEP
5.85E-90,0.275985733,0.532,0.566,1.77E-85,cd4_tcells,HNRNPU
6.14E-90,-0.523464541,0.053,0.239,1.85E-85,cd4_tcells,CTSK
7.44E-90,0.395487682,0.278,0.288,2.25E-85,cd4_tcells,GCC2
7.68E-90,0.699598385,0.223,0.088,2.32E-85,cd4_tcells,PAG1
1.01E-89,-0.462198335,0.033,0.201,3.04E-85,cd4_tcells,KANK2
1.03E-89,0.33580075,0.327,0.322,3.10E-85,cd4_tcells,BTF3
1.33E-89,-0.338130086,0.289,0.514,4.03E-85,cd4_tcells,PDIA3
1.52E-89,-0.55925883,0.043,0.223,4.58E-85,cd4_tcells,CCND1
1.83E-89,-0.457443115,0.05,0.223,5.53E-85,cd4_tcells,C2
1.92E-89,-0.782061411,0.047,0.231,5.81E-85,cd4_tcells,MAFB
2.17E-89,-0.522316286,0.04,0.214,6.56E-85,cd4_tcells,FAM20A
2.23E-89,-0.41634521,0.162,0.375,6.74E-85,cd4_tcells,CTNNB1
3.02E-89,0.689038028,0.238,0.098,9.12E-85,cd4_tcells,PCED1B-AS1
3.37E-89,0.664907091,0.242,0.106,1.02E-84,cd4_tcells,TBC1D10C
3.40E-89,0.354998204,0.388,0.39,1.03E-84,cd4_tcells,KMT2E
5.04E-89,-0.533150927,0.065,0.248,1.52E-84,cd4_tcells,WARS
6.38E-89,0.614251131,0.267,0.152,1.93E-84,cd4_tcells,JAK3
6.41E-89,-0.585003941,0.034,0.201,1.94E-84,cd4_tcells,EPAS1
6.47E-89,0.504428667,0.223,0.169,1.96E-84,cd4_tcells,RPL10
1.17E-88,-0.289802146,0.129,0.313,3.54E-84,cd4_tcells,TMED9
1.34E-88,-0.7316726,0.035,0.213,4.05E-84,cd4_tcells,ALDH2
1.36E-88,-0.446066879,0.049,0.224,4.09E-84,cd4_tcells,CPQ
1.75E-88,-0.379432298,0.089,0.267,5.28E-84,cd4_tcells,ANKH
1.80E-88,-0.530404203,0.018,0.174,5.42E-84,cd4_tcells,AKR1C1
1.85E-88,-0.829407749,0.614,0.693,5.60E-84,cd4_tcells,IGHG4
1.91E-88,0.685220322,0.197,0.093,5.76E-84,cd4_tcells,EPB41
2.12E-88,-0.357864701,0.136,0.331,6.39E-84,cd4_tcells,ATP6AP2
2.50E-88,0.445320355,0.292,0.261,7.55E-84,cd4_tcells,RP11-349A22.5
3.07E-88,0.666866664,0.181,0.074,9.28E-84,cd4_tcells,TNFRSF25
3.58E-88,0.597638895,0.354,0.219,1.08E-83,cd4_tcells,STK17B
4.16E-88,0.41061178,0.378,0.358,1.26E-83,cd4_tcells,ARID4B
4.49E-88,-0.917809471,0.081,0.268,1.36E-83,cd4_tcells,CYBB
6.19E-88,-0.364753188,0.105,0.292,1.87E-83,cd4_tcells,RHOC
8.19E-88,-0.435843946,0.083,0.27,2.48E-83,cd4_tcells,CD59
8.95E-88,-0.352615548,0.152,0.356,2.70E-83,cd4_tcells,PTTG1IP
1.32E-87,-0.291966256,0.255,0.457,3.97E-83,cd4_tcells,GNAI2
2.39E-87,0.39608691,0.294,0.291,7.22E-83,cd4_tcells,PSIP1
2.45E-87,0.252532574,0.318,0.369,7.41E-83,cd4_tcells,MATR3
5.32E-87,-0.31767018,0.132,0.315,1.61E-82,cd4_tcells,ACADVL
6.68E-87,-0.531287043,0.075,0.258,2.02E-82,cd4_tcells,COL5A1
7.53E-87,-0.533625115,0.056,0.24,2.27E-82,cd4_tcells,SEMA5A
7.67E-87,-0.814781859,0.164,0.336,2.32E-82,cd4_tcells,MARCO
8.32E-87,0.698353151,0.186,0.062,2.51E-82,cd4_tcells,ARHGAP15
9.68E-87,-0.263631244,0.165,0.351,2.92E-82,cd4_tcells,SQSTM1
1.17E-86,-0.357480233,0.054,0.218,3.53E-82,cd4_tcells,SCARB2
1.22E-86,-0.60405763,0.043,0.222,3.69E-82,cd4_tcells,ECM2
3.03E-86,-0.404873319,0.085,0.269,9.15E-82,cd4_tcells,HSBP1
3.31E-86,0.687089567,0.216,0.095,1.00E-81,cd4_tcells,PDE7A
3.41E-86,0.463335677,0.315,0.254,1.03E-81,cd4_tcells,YWHAZ
3.46E-86,0.655540179,0.248,0.11,1.05E-81,cd4_tcells,GPRIN3
4.92E-86,0.432761266,0.39,0.35,1.49E-81,cd4_tcells,SP100
5.33E-86,-0.493179719,0.04,0.209,1.61E-81,cd4_tcells,CXXC5
7.04E-86,-0.544535094,0.043,0.217,2.13E-81,cd4_tcells,COL12A1
9.96E-86,-0.455303845,0.084,0.273,3.01E-81,cd4_tcells,NOTCH2
1.57E-85,-0.325259494,0.079,0.247,4.73E-81,cd4_tcells,LEPROT
1.80E-85,0.684779027,0.241,0.092,5.43E-81,cd4_tcells,ITGB2-AS1
1.94E-85,0.296237703,0.355,0.398,5.86E-81,cd4_tcells,ANKRD11
3.08E-85,-0.380562926,0.104,0.282,9.30E-81,cd4_tcells,NBPF10
4.29E-85,0.511978484,0.201,0.136,1.30E-80,cd4_tcells,RPL17
5.07E-85,0.415055043,0.245,0.253,1.53E-80,cd4_tcells,IL6ST
6.03E-85,-0.391207096,0.045,0.207,1.82E-80,cd4_tcells,CTTN
6.26E-85,-0.521467695,0.131,0.332,1.89E-80,cd4_tcells,IER2
8.14E-85,-0.662757154,0.188,0.382,2.46E-80,cd4_tcells,SGK1
1.08E-84,-0.667191673,0.094,0.298,3.27E-80,cd4_tcells,ATF3
1.14E-84,0.431565179,0.316,0.265,3.44E-80,cd4_tcells,PIK3R1
1.78E-84,0.598499971,0.206,0.127,5.36E-80,cd4_tcells,CDKN1B
2.06E-84,0.279335302,0.391,0.425,6.22E-80,cd4_tcells,OPTN
3.38E-84,0.398058257,0.318,0.302,1.02E-79,cd4_tcells,TNRC6B
4.58E-84,-0.647356233,0.176,0.408,1.38E-79,cd4_tcells,RNA28S5
5.74E-84,0.333577618,0.506,0.495,1.73E-79,cd4_tcells,HLA-F
5.83E-84,-0.522465052,0.019,0.172,1.76E-79,cd4_tcells,RUNX1T1
6.52E-84,0.253704542,0.332,0.39,1.97E-79,cd4_tcells,PPIG
7.25E-84,-0.428078896,0.019,0.169,2.19E-79,cd4_tcells,RCN1
8.32E-84,0.411673139,0.304,0.28,2.51E-79,cd4_tcells,MYCBP2
1.06E-83,0.424185375,0.275,0.254,3.19E-79,cd4_tcells,FNBP4
1.12E-83,-0.348447557,0.134,0.316,3.38E-79,cd4_tcells,GNB2
2.04E-83,-0.470066821,0.033,0.194,6.16E-79,cd4_tcells,SERPINH1
3.11E-83,-0.72026509,0.113,0.325,9.40E-79,cd4_tcells,HSPA1A
3.76E-83,-0.298619963,0.102,0.272,1.14E-78,cd4_tcells,ATOX1
5.60E-83,0.66875311,0.233,0.097,1.69E-78,cd4_tcells,LCK
5.68E-83,-0.446058032,0.031,0.188,1.71E-78,cd4_tcells,SASH1
6.16E-83,0.421072129,0.351,0.306,1.86E-78,cd4_tcells,SRSF7
6.37E-83,-0.432518741,0.098,0.275,1.93E-78,cd4_tcells,YWHAH
6.82E-83,-0.403595078,0.062,0.236,2.06E-78,cd4_tcells,PTPN12
1.02E-82,-0.433191796,0.036,0.194,3.07E-78,cd4_tcells,SORBS2
1.21E-82,-0.342181668,0.071,0.234,3.67E-78,cd4_tcells,C19ORF10
1.22E-82,0.661690469,0.218,0.114,3.68E-78,cd4_tcells,TBC1D4
1.51E-82,0.649001938,0.155,0.055,4.56E-78,cd4_tcells,FAM102A
1.53E-82,0.403413095,0.329,0.278,4.61E-78,cd4_tcells,FXYD5
1.58E-82,-0.445659723,0.035,0.193,4.79E-78,cd4_tcells,RBFOX2
1.87E-82,-0.454091617,0.686,0.83,5.66E-78,cd4_tcells,DUSP1
3.88E-82,0.496943681,0.332,0.305,1.17E-77,cd4_tcells,MAF
4.94E-82,-0.655606936,0.094,0.28,1.49E-77,cd4_tcells,TGFBI
5.55E-82,0.250953493,0.454,0.468,1.68E-77,cd4_tcells,RNF213
7.38E-82,-0.437177402,0.025,0.172,2.23E-77,cd4_tcells,MYOF
1.51E-81,-0.452039531,0.061,0.233,4.57E-77,cd4_tcells,CSF1
1.56E-81,-0.432155514,0.057,0.229,4.71E-77,cd4_tcells,CTNNA1
2.34E-81,0.607872724,0.125,0.027,7.06E-77,cd4_tcells,TRABD2A
2.61E-81,-0.26302345,0.092,0.244,7.89E-77,cd4_tcells,CAMK1D
2.93E-81,-0.494747492,0.038,0.201,8.84E-77,cd4_tcells,FGF10
3.89E-81,-0.340845604,0.138,0.318,1.17E-76,cd4_tcells,AP2S1
3.97E-81,-0.335258655,0.233,0.422,1.20E-76,cd4_tcells,ZFAND5
4.32E-81,0.395831309,0.847,0.748,1.30E-76,cd4_tcells,MT-CO1
4.37E-81,-0.540552937,0.031,0.185,1.32E-76,cd4_tcells,CMKLR1
4.54E-81,-0.506239857,0.026,0.183,1.37E-76,cd4_tcells,RSPO3
4.59E-81,-0.473436682,0.036,0.197,1.39E-76,cd4_tcells,ZNF385B
6.48E-81,-0.478980636,0.068,0.242,1.96E-76,cd4_tcells,MYL9
7.42E-81,-0.432750082,0.033,0.188,2.24E-76,cd4_tcells,GNG12
7.77E-81,0.400590885,0.201,0.175,2.35E-76,cd4_tcells,NPM1
8.91E-81,0.438973043,0.208,0.175,2.69E-76,cd4_tcells,SNHG8
1.14E-80,-0.529234743,0.039,0.202,3.45E-76,cd4_tcells,NTN4
1.30E-80,-0.489473018,0.024,0.177,3.94E-76,cd4_tcells,ITPRIPL2
1.36E-80,-0.26568605,0.166,0.348,4.11E-76,cd4_tcells,PPP1CC
1.65E-80,-0.516945343,0.03,0.189,4.98E-76,cd4_tcells,PPAP2B
2.41E-80,-0.377466815,0.056,0.212,7.28E-76,cd4_tcells,EFEMP2
2.46E-80,-0.490151681,0.029,0.186,7.44E-76,cd4_tcells,NRP1
2.50E-80,-0.294155015,0.11,0.281,7.56E-76,cd4_tcells,EEA1
2.68E-80,-0.299760429,0.166,0.355,8.10E-76,cd4_tcells,CTSA
2.70E-80,0.297238869,0.273,0.304,8.14E-76,cd4_tcells,DDX46
3.42E-80,-0.467757822,0.049,0.211,1.03E-75,cd4_tcells,SULF2
3.48E-80,-0.4633258,0.033,0.19,1.05E-75,cd4_tcells,ADAM9
4.83E-80,-0.432465206,0.041,0.198,1.46E-75,cd4_tcells,PHLDB1
5.46E-80,-0.365545965,0.086,0.255,1.65E-75,cd4_tcells,NPTN
5.52E-80,0.532718,0.292,0.216,1.67E-75,cd4_tcells,BAZ1A
6.02E-80,-0.280908547,0.149,0.325,1.82E-75,cd4_tcells,SSR3
6.36E-80,-0.253186428,0.08,0.229,1.92E-75,cd4_tcells,ATRAID
8.53E-80,-0.534938107,0.031,0.189,2.58E-75,cd4_tcells,FOXC1
9.04E-80,-0.258358816,0.103,0.262,2.73E-75,cd4_tcells,VIMP
1.83E-79,-0.439948184,0.029,0.179,5.54E-75,cd4_tcells,ZCCHC24
1.89E-79,-0.474854701,0.041,0.201,5.72E-75,cd4_tcells,PMEPA1
2.07E-79,-0.577372237,0.031,0.187,6.26E-75,cd4_tcells,HAS1
2.43E-79,0.332312014,0.311,0.324,7.34E-75,cd4_tcells,PPP1R12A
2.56E-79,0.302975436,0.269,0.292,7.74E-75,cd4_tcells,RSL1D1
2.59E-79,-0.417735541,0.018,0.158,7.83E-75,cd4_tcells,GJA1
2.69E-79,-0.434145329,0.05,0.211,8.13E-75,cd4_tcells,TNFRSF1A
2.72E-79,-0.468101167,0.079,0.261,8.21E-75,cd4_tcells,CTSL
3.03E-79,-0.291661841,0.097,0.262,9.16E-75,cd4_tcells,MAP7D3
3.05E-79,0.299425337,0.343,0.371,9.21E-75,cd4_tcells,YTHDC1
3.51E-79,0.542079353,0.235,0.159,1.06E-74,cd4_tcells,CDC42SE1
5.54E-79,0.288843889,0.336,0.352,1.67E-74,cd4_tcells,MACF1
5.61E-79,-0.292237844,0.096,0.254,1.70E-74,cd4_tcells,CLTA
6.04E-79,0.26589494,0.54,0.529,1.82E-74,cd4_tcells,ACTB
8.53E-79,0.367276734,0.192,0.192,2.58E-74,cd4_tcells,C6ORF48
8.65E-79,-0.496236732,0.029,0.184,2.61E-74,cd4_tcells,TFPI
1.06E-78,0.344955343,0.221,0.219,3.19E-74,cd4_tcells,RAN
1.18E-78,0.394549167,0.225,0.208,3.58E-74,cd4_tcells,HMGN1
1.23E-78,-0.280929445,0.097,0.256,3.72E-74,cd4_tcells,TM9SF2
1.65E-78,-0.429314234,0.026,0.173,4.97E-74,cd4_tcells,FERMT2
2.21E-78,0.36260874,0.769,0.73,6.67E-74,cd4_tcells,MT-ND5
2.29E-78,-0.856522565,0.064,0.241,6.92E-74,cd4_tcells,CD163
2.36E-78,-0.473855619,0.029,0.184,7.13E-74,cd4_tcells,LAMC1
2.55E-78,0.265000844,0.268,0.302,7.71E-74,cd4_tcells,MT-ND4L
2.90E-78,0.429590643,0.205,0.164,8.77E-74,cd4_tcells,RPL29
3.16E-78,0.282792361,0.267,0.276,9.53E-74,cd4_tcells,HMGB1
3.31E-78,0.475020758,0.269,0.222,1.00E-73,cd4_tcells,YPEL5
5.54E-78,0.266198089,0.242,0.298,1.67E-73,cd4_tcells,ARID5B
8.42E-78,-0.492926817,0.027,0.174,2.54E-73,cd4_tcells,CORO1C
8.79E-78,-0.399689386,0.1,0.28,2.65E-73,cd4_tcells,CEBPB
1.00E-77,-0.507892602,0.037,0.194,3.03E-73,cd4_tcells,BASP1
1.02E-77,-0.309881478,0.13,0.307,3.08E-73,cd4_tcells,IFI27L2
1.03E-77,0.546699602,0.327,0.207,3.12E-73,cd4_tcells,CD53
1.17E-77,0.360014353,0.313,0.288,3.53E-73,cd4_tcells,HIST1H4C
1.70E-77,0.333900145,0.455,0.451,5.15E-73,cd4_tcells,KLF2
1.95E-77,0.303129607,0.259,0.252,5.90E-73,cd4_tcells,ACTR3
3.43E-77,-0.255990994,0.25,0.42,1.04E-72,cd4_tcells,TAGLN2
3.72E-77,0.553027576,0.209,0.118,1.12E-72,cd4_tcells,TNFAIP8
4.17E-77,-0.395034879,0.028,0.17,1.26E-72,cd4_tcells,EPS8
4.24E-77,0.545601699,0.188,0.133,1.28E-72,cd4_tcells,ANKRD36
4.50E-77,-0.336725286,0.06,0.215,1.36E-72,cd4_tcells,ERGIC1
4.59E-77,-0.396388031,0.077,0.245,1.39E-72,cd4_tcells,QKI
5.86E-77,0.308291771,0.738,0.725,1.77E-72,cd4_tcells,PTMA
1.20E-76,-0.479483669,0.017,0.153,3.62E-72,cd4_tcells,TMEM100
1.34E-76,0.58172957,0.109,0.018,4.05E-72,cd4_tcells,CAMK4
1.38E-76,-0.307779389,0.057,0.205,4.17E-72,cd4_tcells,PCYOX1
1.39E-76,-0.429554086,0.052,0.211,4.21E-72,cd4_tcells,TSPAN4
1.41E-76,0.280791499,0.474,0.495,4.27E-72,cd4_tcells,CCNL1
1.46E-76,0.325442631,0.311,0.3,4.40E-72,cd4_tcells,AES
1.60E-76,0.636514687,0.196,0.086,4.84E-72,cd4_tcells,SORL1
1.88E-76,-0.431669954,0.056,0.22,5.67E-72,cd4_tcells,FAP
2.25E-76,-0.46791766,0.048,0.2,6.79E-72,cd4_tcells,GNG11
2.44E-76,-0.27158979,0.521,0.727,7.37E-72,cd4_tcells,OAZ1
2.52E-76,-0.326243244,0.028,0.161,7.62E-72,cd4_tcells,RHOQ
2.62E-76,0.315521989,0.24,0.265,7.92E-72,cd4_tcells,ASH1L
2.71E-76,-0.329290362,0.056,0.206,8.19E-72,cd4_tcells,COX7A1
2.88E-76,0.315173405,0.296,0.301,8.69E-72,cd4_tcells,PRPF4B
3.13E-76,0.292098909,0.462,0.456,9.45E-72,cd4_tcells,TPM3
4.15E-76,-0.264982498,0.56,0.746,1.25E-71,cd4_tcells,UBC
4.91E-76,0.470712489,0.197,0.161,1.48E-71,cd4_tcells,EIF4B
5.17E-76,0.574983549,0.101,0.015,1.56E-71,cd4_tcells,CD40LG
5.35E-76,-0.782749399,0.078,0.245,1.62E-71,cd4_tcells,A2M
5.36E-76,-0.702578914,0.097,0.275,1.62E-71,cd4_tcells,IGFBP7
5.39E-76,0.556516279,0.331,0.202,1.63E-71,cd4_tcells,ARHGAP30
7.19E-76,0.591365433,0.207,0.13,2.17E-71,cd4_tcells,RORA
7.20E-76,0.281639893,0.565,0.58,2.17E-71,cd4_tcells,XIST
7.36E-76,-0.311927039,0.086,0.249,2.22E-71,cd4_tcells,RAB1A
8.35E-76,0.382201864,0.603,0.575,2.52E-71,cd4_tcells,NFKBIA
8.58E-76,-0.389635402,0.129,0.312,2.59E-71,cd4_tcells,TGFBR2
9.37E-76,0.292277138,0.277,0.283,2.83E-71,cd4_tcells,TERF2IP
1.02E-75,-0.752405671,0.139,0.313,3.08E-71,cd4_tcells,RNASE1
1.08E-75,0.310808547,0.264,0.288,3.26E-71,cd4_tcells,NIPBL
1.19E-75,-0.483296286,0.085,0.256,3.58E-71,cd4_tcells,IGFBP6
1.29E-75,-0.996964224,0.054,0.209,3.89E-71,cd4_tcells,CXCL2
1.50E-75,-0.442066611,0.028,0.176,4.52E-71,cd4_tcells,CDON
1.70E-75,-0.468730807,0.032,0.178,5.12E-71,cd4_tcells,COL4A2
1.85E-75,0.65491361,0.264,0.151,5.59E-71,cd4_tcells,PRDM1
1.99E-75,0.561648277,0.185,0.106,6.00E-71,cd4_tcells,SVIP
2.06E-75,0.385408002,0.237,0.252,6.22E-71,cd4_tcells,PHF3
3.26E-75,0.298491341,0.24,0.258,9.84E-71,cd4_tcells,VPS13C
3.57E-75,-0.305207096,0.077,0.232,1.08E-70,cd4_tcells,HEXA
4.40E-75,0.289738372,0.271,0.286,1.33E-70,cd4_tcells,UBXN1
4.96E-75,0.285542051,0.343,0.355,1.50E-70,cd4_tcells,ADD3
5.15E-75,-0.305817755,0.114,0.281,1.56E-70,cd4_tcells,GALNT1
6.56E-75,-0.39215983,0.022,0.156,1.98E-70,cd4_tcells,MAP1A
6.68E-75,0.445343494,0.205,0.161,2.02E-70,cd4_tcells,EEF1A1
8.76E-75,-0.466707492,0.035,0.185,2.65E-70,cd4_tcells,S1PR3
9.89E-75,0.33232288,0.376,0.359,2.99E-70,cd4_tcells,WIPF1
1.31E-74,0.704140817,0.255,0.117,3.96E-70,cd4_tcells,CTLA4
1.41E-74,-0.42004521,0.042,0.192,4.27E-70,cd4_tcells,SCARA3
2.19E-74,0.252707368,0.277,0.314,6.62E-70,cd4_tcells,JAK1
2.85E-74,-0.409380365,0.031,0.175,8.61E-70,cd4_tcells,GFPT2
2.89E-74,0.584588497,0.267,0.148,8.73E-70,cd4_tcells,HMHA1
3.21E-74,-0.456875481,0.033,0.18,9.69E-70,cd4_tcells,PCOLCE2
3.28E-74,0.618258999,0.11,0.021,9.91E-70,cd4_tcells,LINC00861
3.39E-74,-0.38189311,0.028,0.168,1.02E-69,cd4_tcells,PROCR
3.58E-74,0.774637728,0.167,0.055,1.08E-69,cd4_tcells,KLRB1
4.87E-74,0.650773188,0.213,0.1,1.47E-69,cd4_tcells,TAGAP
5.07E-74,-0.484418009,0.052,0.209,1.53E-69,cd4_tcells,KCNQ1OT1
5.36E-74,-0.766649666,0.085,0.255,1.62E-69,cd4_tcells,STAB1
5.87E-74,-0.696462503,0.038,0.196,1.77E-69,cd4_tcells,CP
6.82E-74,-0.365783482,0.04,0.18,2.06E-69,cd4_tcells,EMP2
7.66E-74,0.654128413,0.172,0.063,2.31E-69,cd4_tcells,OXNAD1
8.09E-74,0.645808226,0.241,0.108,2.44E-69,cd4_tcells,IKZF1
8.70E-74,-0.395085597,0.031,0.17,2.63E-69,cd4_tcells,ADAMTS2
9.21E-74,-0.412142558,0.036,0.184,2.78E-69,cd4_tcells,DLC1
1.08E-73,-0.828892045,0.047,0.197,3.27E-69,cd4_tcells,FCGR3A
1.25E-73,0.634902947,0.139,0.033,3.77E-69,cd4_tcells,IPCEF1
1.32E-73,-0.340666923,0.061,0.214,3.99E-69,cd4_tcells,MAGED1
1.37E-73,-0.287576771,0.162,0.338,4.15E-69,cd4_tcells,MYADM
1.90E-73,0.269114289,0.292,0.317,5.74E-69,cd4_tcells,HNRNPC
2.43E-73,0.453819307,0.257,0.206,7.36E-69,cd4_tcells,9-Sep
2.59E-73,-0.298537989,0.082,0.236,7.82E-69,cd4_tcells,PDIA4
2.99E-73,-0.373322161,0.086,0.237,9.03E-69,cd4_tcells,CDKN1A
